group,child,parent
703,corn chip,chip
703,potato skin,chip
703,wrap,sandwich
703,chili dog,hotdog
703,butty,sandwich
703,Sloppy Joe,sandwich
703,western,sandwich
703,bomber,sandwich
703,open-face sandwich,sandwich
703,gyro,sandwich
704,Sitting Bull,Sioux
704,Rain-in-the-Face,Sioux
704,Red Cloud,Sioux
704,Crazy Horse,Sioux
704,Dakota,Sioux
704,Teton,Sioux
704,Hunkpapa,Sioux
704,Oglala,Sioux
704,Brule,Sioux
704,Sihasapa,Sioux
704,Missouri,Sioux
704,Omaha,Sioux
704,Kansa,Sioux
704,Ponca,Sioux
704,Catawba,Sioux
704,Santee,Sioux
704,Miniconju,Sioux
704,Osage,Sioux
704,Iowa,Sioux
704,Ofo,Sioux
704,Oto,Sioux
704,Tutelo,Sioux
704,Biloxi,Sioux
704,Dhegiha,Sioux
704,Two Kettle,Sioux
704,Winnebago,Sioux
704,Quapaw,Sioux
704,Crow,Sioux
705,tampon,plug
705,drainplug,plug
705,bung,plug
705,cork,plug
705,tampion,plug
705,blockage,plug
705,earplug,plug
705,vapor lock,blockage
705,fipple,plug
705,tap,plug
705,breechblock,plug
706,gable,wall
706,sidewall,wall
706,cavity wall,wall
706,bell gable,gable
706,chimney breast,wall
706,partition,wall
706,purdah,partition
706,bearing wall,wall
706,firewall,wall
706,proscenium,wall
706,brattice,wall
706,corbie gable,gable
706,pediment,gable
706,parapet,wall
706,rood screen,screen
706,altarpiece,screen
706,wainscoting,wall
706,Hadrian's Wall,wall
706,attic,wall
706,screen,wall
706,wall,bulkhead
706,Wailing Wall,wall
707,legume,pod
707,peanut,legume
707,loment,pod
707,screw bean,legume
707,pea,legume
707,lentil,legume
707,chickpea,legume
707,okra,legume
707,cowpea,legume
707,garden pea,pea
707,field pea,pea
708,topical anesthesia,local anesthesia
708,acroanesthesia,regional anesthesia
708,twilight sleep,general anesthesia
708,spinal anesthesia,conduction anesthesia
708,conduction anesthesia,regional anesthesia
708,anesthesia,general anesthesia
708,caudal anesthesia,regional anesthesia
708,paracervical block,regional anesthesia
708,regional anesthesia,anesthesia
708,epidural anesthesia,regional anesthesia
708,cryoanesthesia,local anesthesia
708,pudendal block,regional anesthesia
708,saddle block anesthesia,regional anesthesia
708,local anesthesia,anesthesia
708,inhalation anesthesia,general anesthesia
708,general anesthesia,anesthesia
709,organic light-emitting diode,light-emitting diode
709,gene chip,memory chip
709,read-only memory chip,memory chip
709,thermistor,semiconductor device
709,transistor,semiconductor device
709,microprocessor,semiconductor device
709,diode,semiconductor device
709,biochip,memory chip
709,n-type semiconductor,semiconductor device
709,field-effect transistor,transistor
709,p-n-p transistor,transistor
709,p-type semiconductor,semiconductor device
709,memory chip,chip
709,light-emitting diode,chip
709,semiconductor device,chip
709,transistor,chip
709,diode,chip
710,bow tie,necktie
710,bolo tie,neckwear
710,necktie,neckwear
710,cravat,neckwear
710,Windsor tie,necktie
710,black tie,neckwear
710,white tie,neckwear
710,string tie,bolo tie
710,neckwear,neckcloth
710,ascot,cravat
710,old school tie,necktie
710,neckcloth,neckwear
710,four-in-hand,necktie
711,hourglass,timepiece
711,stopwatch,timepiece
711,electric clock,timepiece
711,Big Ben,clock
711,egg timer,timer
711,digital watch,timepiece
711,chronograph,timepiece
711,timer,timepiece
711,digital clock,timepiece
711,wall clock,clock
711,system clock,clock
711,time clock,clock
711,grandfather clock,clock
711,ammonia clock,clock
711,sandglass,hourglass
711,parking meter,timer
711,watch,timepiece
711,analog watch,watch
711,cuckoo clock,clock
711,alarm clock,clock
711,wristwatch,watch
711,analog clock,clock
711,pocket watch,watch
711,atomic clock,clock
711,chronometer,timepiece
711,stem-winder,pocket watch
711,water clock,clock
711,caesium clock,atomic clock
711,clock,timepiece
711,pendulum watch,pocket watch
711,turret clock,clock
711,hunter,pocket watch
711,pendulum clock,clock
711,sundial,timepiece
712,fieri facias,execution
712,court order,writ
712,speeding ticket,ticket
712,cachet,ticket
712,reprieve,pardon
712,subpoena,summons
712,death warrant,warrant
712,subpoena duces tecum,subpoena
712,gag order,court order
712,monition,court order
712,garnishment,attachment
712,writ of right,writ
712,parking ticket,ticket
712,writ of election,writ
712,divestiture,attachment
712,commutation,pardon
712,citation,ticket
712,summons,ticket
712,writ of detinue,writ
712,interdict,court order
712,warrant,court order
712,writ of error,writ
712,bench warrant,warrant
712,scire facias,writ
712,certiorari,writ
712,writ of prohibition,writ
712,habeas corpus,writ
712,venire facias,writ
712,sequestration,attachment
712,search warrant,warrant
712,assize,court order
713,fogbank,fog
713,haze,fog
713,ice fog,fog
713,fog,cloud
713,mist,fog
713,pea soup,fog
713,cloud,nebula
713,diffuse nebula,nebula
713,planetary nebula,nebula
713,aerosol,fog
713,dust cloud,cloud
713,smoke,fog
713,cosmic dust,dust cloud
713,coma,nebula
713,mushroom,cloud
713,gun smoke,smoke
714,goal,purpose
714,aim,goal
714,intention,purpose
714,will,purpose
714,final cause,purpose
714,view,purpose
714,mind,purpose
714,thing,purpose
714,no-goal,purpose
714,destination,purpose
714,occasion,purpose
714,purpose,point
714,bourn,purpose
714,end-all,purpose
714,cross-purpose,purpose
714,grail,purpose
714,sake,purpose
714,business,purpose
715,curtain,blind
715,safety curtain,curtain
715,frontal,curtain
715,theater curtain,curtain
715,shower curtain,curtain
715,window shade,blind
715,roller blind,blind
715,Venetian blind,blind
715,jalousie,blind
715,shutter,blind
715,winker,blind
715,deadlight,blind
715,festoon,curtain
715,drop curtain,curtain
715,window blind,blind
716,wild card,unknown quantity
716,intrinsic factor,factor
716,etiology,cause
716,antecedent,cause
716,fundamental,parameter
716,parameter,factor
716,cause,factor
716,growth hormone-releasing factor,releasing factor
716,insertional mutagenesis,mutagenesis
716,producer,factor
717,conservation,fundamental
717,conservation of charge,conservation
717,conservation of momentum,conservation
717,conservation of mass,conservation
717,conservation of energy,conservation
717,law,dictate
717,divine law,law
717,reality principle,principle
717,pleasure principle,principle
717,logic,principle
717,Tao,principle
717,parity,principle
717,rudiment,fundamental
717,sound law,law
717,Verner's law,sound law
717,Grimm's law,sound law
717,insurrectionism,principle
718,northern sea robin,sea robin
718,miller's-thumb,sculpin
718,lingcod,greenling
718,pogge,sea robin
718,grubby,sculpin
718,bullhead,sculpin
718,kelp greenling,greenling
718,sea raven,armored searobin
718,gurnard,sea robin
718,tub gurnard,gurnard
718,flathead,armored searobin
718,rosefish,scorpionfish
718,scorpaenid,scorpionfish
718,plumed scorpionfish,scorpionfish
718,greenling,fish
718,armored searobin,sea robin
718,rockfish,fish
718,flying gurnard,gurnard
718,painted greenling,greenling
718,alligatorfish,scorpionfish
718,snailfish,fish
718,copper rockfish,rockfish
718,vermillion rockfish,rockfish
718,red rockfish,rockfish
718,lumpfish,lumpsucker
718,lumpsucker,fish
718,stonefish,scorpionfish
719,handloom,loom
719,power loom,loom
719,Jacquard loom,loom
719,spinning jenny,spinning machine
719,spinning frame,spinning machine
719,throstle,spinning machine
719,sewing machine,textile machine
719,carpet loom,loom
719,low-warp loom,loom
719,high-warp loom,loom
719,figure loom,loom
719,spinning wheel,textile machine
719,willow,textile machine
719,serger,sewing machine
719,knitting machine,textile machine
720,aphasia,brain disorder
720,epilepsy,brain disorder
720,Wernicke's aphasia,aphasia
720,visual aphasia,aphasia
720,transcortical aphasia,aphasia
720,procursive epilepsy,epilepsy
720,agraphia,aphasia
720,musicogenic epilepsy,epilepsy
720,sensory epilepsy,epilepsy
720,visual agnosia,agnosia
720,status epilepticus,epilepsy
720,paralysis agitans,brain disorder
720,astereognosis,agnosia
720,grand mal epilepsy,epilepsy
720,psychomotor epilepsy,epilepsy
720,apraxia,agnosia
720,agnosia,aphasia
720,acataphasia,aphasia
720,cerebral palsy,brain disorder
720,auditory agnosia,agnosia
720,photogenic epilepsy,epilepsy
720,Creutzfeldt-Jakob disease,brain disorder
720,auditory aphasia,aphasia
720,cortical epilepsy,epilepsy
720,akinetic epilepsy,epilepsy
720,Reye's syndrome,brain disorder
720,petit mal epilepsy,epilepsy
720,reflex epilepsy,epilepsy
720,nominal aphasia,aphasia
720,Wernicke's encephalopathy,brain disorder
720,motor aphasia,aphasia
720,conduction aphasia,aphasia
720,myoclonus epilepsy,epilepsy
720,tonic epilepsy,epilepsy
720,global aphasia,aphasia
720,posttraumatic epilepsy,epilepsy
720,Jacksonian epilepsy,epilepsy
721,oboe da caccia,double-reed instrument
721,English horn,oboe
721,krummhorn,double-reed instrument
721,musette pipe,double-reed instrument
721,bassoon,double-reed instrument
721,oboe,double-reed instrument
721,contrabassoon,bassoon
721,tenoroon,bassoon
721,oboe d'amore,oboe
721,heckelphone,bassoon
721,shawm,double-reed instrument
721,bombardon,contrabassoon
722,reception,party
722,soiree,party
722,open house,party
722,slumber party,party
722,levee,party
722,ball,party
722,gaudy,party
722,masquerade,party
722,bachelor party,party
722,dance,party
722,wedding,party
722,shower,party
722,garden party,party
722,housewarming,party
722,masked ball,party
722,hen party,party
722,wedding reception,reception
722,reunion,party
722,shindig,party
722,at home,reception
722,tea,party
722,dinner,party
722,beanfeast,party
722,stag party,party
722,musical soiree,soiree
722,banquet,party
723,glimpse,sight
723,side view,view
723,profile,view
723,background,view
723,visual field,field
723,operative field,field
723,microscopic field,field
723,visual percept,sight
723,middle distance,view
723,foreground,view
723,exposure,view
723,coast,tableau
723,eye candy,visual percept
724,colander,sieve
724,sifter,sieve
724,tea-strainer,sieve
724,drain basket,colander
724,filter bed,filter
724,filter,sieve
724,air filter,filter
724,water filter,filter
724,fuel filter,filter
724,oil filter,filter
724,coffee filter,filter
724,filter tip,filter
724,light filter,filter
724,bacteria bed,filter
724,diatomaceous earth,filter
724,glass wool,filter
725,payroll,entry
725,adjusting entry,entry
725,control account,entry
725,debit,side
725,credit,side
725,debit side,side
725,credit side,side
725,cash basis,accounting
725,accrual basis,accounting
725,register,accounting
725,financial audit,accounting
725,limited audit,accounting
725,analytical review,review
725,pooling of interest,accounting
725,inventory,accounting
725,audited account,accounting
725,review,accounting
725,entry,accounting
726,ridge,head
726,spur,ridge
726,mogul,ridge
726,occipital protuberance,head
726,widow's peak,head
726,keel,ridge
726,point,head
726,belly,head
726,convex shape,head
726,bulge,head
726,umbo,head
726,salient,head
726,raphe,head
726,nub,head
726,caput,head
726,wart,head
726,jag,head
726,projection,head
726,camber,ridge
726,entasis,ridge
726,frontal eminence,head
726,tongue,head
726,tail,head
726,palatine raphe,head
726,cusp,spur
726,corrugation,ridge
726,node,head
726,snag,ridge
727,San Andreas Fault,thrust fault
727,Denali Fault,thrust fault
727,strike-slip fault,fault
727,normal fault,fault
727,inclined fault,fault
727,fault,split
727,crack,split
727,crevasse,split
727,rift,split
727,slit,split
727,fatigue crack,crack
727,chap,crack
727,chink,crack
727,vent,crack
728,wordbook,vocabulary
728,desk dictionary,dictionary
728,word finder,dictionary
728,pocket dictionary,dictionary
728,unabridged dictionary,dictionary
728,bilingual dictionary,dictionary
728,gazetteer,dictionary
728,spell-checker,dictionary
728,onomasticon,dictionary
728,etymological dictionary,dictionary
728,Oxford English Dictionary,dictionary
728,thesaurus,dictionary
728,glossary,dictionary
728,learner's dictionary,dictionary
729,stepdaughter,daughter
729,godson,son
729,stillborn infant,dead baby
729,baby,liveborn infant
729,nursling,baby
729,godchild,child
729,male offspring,son
729,papoose,baby
729,child,offspring
729,daughter,female offspring
729,stepchild,child
729,neonate,baby
729,army brat,child
729,premature baby,liveborn infant
729,low-birth-weight baby,premature baby
729,goddaughter,daughter
729,test-tube baby,liveborn infant
729,stepson,son
729,blue baby,liveborn infant
729,Esau,male offspring
729,foundling,liveborn infant
729,liveborn infant,baby
729,son,male offspring
729,Junior,son
729,term infant,liveborn infant
729,cherub,baby
729,mother's boy,son
730,twilight,sunset
730,dawn,sunrise
730,sunset,twilight
730,nones,canonical hour
730,matins,canonical hour
730,vespers,canonical hour
730,compline,canonical hour
730,none,canonical hour
730,terce,canonical hour
730,sext,canonical hour
730,prime,canonical hour
730,breakfast time,mealtime
730,lunchtime,mealtime
730,dinnertime,mealtime
730,mealtime,clock time
730,small hours,late-night hour
730,late-night hour,hour
730,early-morning hour,hour
730,happy hour,clock time
730,closing time,clock time
730,rush hour,clock time
730,lights-out,bedtime
730,bedtime,clock time
730,spacecraft clock time,clock time
730,zero hour,hour
730,noon,hour
730,midnight,hour
730,prime time,hour
731,bracteole,bract
731,husk,shell
731,glume,lemma
731,cornhusk,husk
731,pod,shell
731,pea pod,pod
731,nutshell,shell
731,hull,shell
731,spathe,bract
731,epicalyx,involucre
731,bract,involucre
731,involucre,bract
732,loop,flight maneuver
732,clinch,flight maneuver
732,bank,flight maneuver
732,roll,flight maneuver
732,snap roll,flight maneuver
732,maneuver,flight maneuver
732,slip,flight maneuver
732,outside loop,flight maneuver
732,vertical bank,flight maneuver
732,chandelle,flight maneuver
732,straight-arm,flight maneuver
732,inside loop,flight maneuver
732,barrel roll,flight maneuver.
733,wood,golf club
733,metal wood,wood
733,iron,golf club
733,driver,wood
733,brassie,wood
733,long iron,iron
733,driving iron,iron
733,midiron,iron
733,short iron,iron
733,pitching wedge,wedge
733,sand wedge,wedge
733,mashie niblick,wedge
733,mashie,iron
733,spoon,wood
733,putter,golf club
733,niblick,iron
734,heating,temperature change
734,thaw,temperature change
734,freeze-drying,freeze
734,freeze,temperature change
734,refrigeration,cooling
734,radiant heating,heating
734,induction heating,heating
734,boiling,temperature change
734,decoction process,heating
734,convection,temperature change
734,freeze,thaw
734,thaw,freeze
734,advection,temperature change
734,frost,freeze
734,meltdown,temperature change
734,heat dissipation,temperature change
734,refrigeration,temperature change
734,climate change,global warming
734,global warming,climate change
734,overheating,temperature change
735,academic gown,gown
735,Geneva gown,gown
735,humeral veil,vestment
735,surplice,vestment
735,alb,vestment
735,pontifical,vestment
735,soutane,vestment
735,pallium,vestment
735,chasuble,vestment
735,cassock,vestment
736,passage,phrase
736,cadence,passage
736,cadenza,passage
736,ligature,passage
736,ground bass,passage
736,riff,passage
736,ostinato,passage
736,recitative,passage
736,arioso,passage
736,transition,passage
736,intro,passage
736,plagal cadence,cadence
736,impromptu,passage
736,largo,passage
736,andante,passage
736,adagio,passage
736,allegretto,passage
736,allegro,passage
737,backbend,acrobatic stunt
737,split,acrobatic stunt
737,headstand,acrobatic stunt
737,back circle,acrobatic stunt
737,flip-flop,acrobatic stunt
737,handspring,acrobatic stunt
737,tumble,acrobatic stunt
737,somersault,acrobatic stunt
737,walkover,acrobatic stunt
737,cartwheel,acrobatic stunt.
738,interplay,interaction
738,brush,contact
738,placement,interchange
738,cross-fertilization,reciprocity
738,contact,interaction
738,dealings,relation
738,interchange,interaction
738,relation,interaction
738,reciprocity,interaction
738,eye contact,contact
739,agglomeration,centralization
739,compilation,collection
739,collation,collection
739,tax collection,collection
739,garbage collection,collection
739,numismatics,collection
739,pickup,collection
739,aerophilately,collection
739,collection,gather
739,bottle collection,collection
739,centralization,gather
739,conchology,collection
739,harvest,gather
739,philately,collection
739,haying,gather
740,capability,ability
740,totipotency,ability
740,magical ability,ability
740,physical ability,ability
740,fitness,ability
740,linguistic competence,competence
740,immunocompetence,competence
740,proficiency,competence
740,sensitivity,competence
740,adaptability,capability
740,associability,capability
740,defensibility,capability
740,flexibility,capability
740,interoperability,capability
740,executability,capability
740,defensiveness,capability
740,perceptiveness,capability
740,penetrability,capability
740,adaptability,capability
740,form,capability
740,wiggle room,capability
740,overkill,capability
740,Midas touch,capability
740,lung-power,capability
740,pliability,capability
740,astringency,capability
740,envelope,form
740,voice,form
740,antenna,form
740,firepower,military capability
740,sea power,military capability
740,military capability,capability
740,operating capability,capability
740,bunker mentality,capability
740,contractility,capability
740,capacity,capability
740,ability,capability
740,fitness,capability
740,defensiveness,capability
740,sensitivity,capability
741,agar,gelatinous exudate
741,mesquite gum,gum
741,gutta-percha,natural rubber
741,dragon's blood,resinous exudate
741,hard rubber,vulcanized rubber
741,ammoniac,gum
741,chicle,gum
741,frankincense,resinous exudate
741,crepe rubber,rubber
741,mucilage,gum
741,cold rubber,rubber
741,Para rubber,rubber
741,latex,rubber
741,algin,gum
741,ghatti,gum
741,rubber,natural polymer
741,sangapenum,resinous exudate
741,kino,gum
741,gum butea,gum
741,gum arabic,gum
741,guar gum,gum
741,sterculia gum,gum
741,eucalyptus gum,gum
741,foam rubber,rubber
741,opopanax,resinous exudate
741,carrageenin,gum
741,cherry-tree gum,gum
741,lacquer,resinous exudate
741,galbanum,resinous exudate
741,Senegal gum,gum
741,conima,resinous exudate
741,tragacanth,gum
741,balata,rubber
741,euphorbium,resinous exudate
741,sweet gum,gum
742,thyroid gland,endocrine gland
742,islands of Langerhans,endocrine gland
742,gonad,endocrine gland
742,pars intermedia,anterior pituitary
742,pineal gland,endocrine gland
742,anterior pituitary,pituitary
742,ovotestis,gonad
742,pars distilis,anterior pituitary
742,thymus gland,endocrine gland
742,cobblers,undescended testis
742,ovary,gonad
742,undescended testis,testis
742,posterior pituitary,pituitary
742,corpus luteum,ovary
742,adrenal gland,endocrine gland
742,prostate gland,endocrine gland
742,parathyroid gland,endocrine gland
742,adrenal cortex,adrenal gland
742,testis,gonad
742,pituitary,endocrine gland
742,adrenal medulla,adrenal gland
743,magnetic resonance imaging,imaging technique
743,B-scan ultrasonography,ultrasonography technique
743,blood-oxygenation level dependent functional magnetic resonance imaging,functional magnetic resonance imaging technique
743,X-raying,imaging technique
743,sonography,imaging technique
743,radioscopy,imaging technique
743,fluoroscopy,imaging technique
743,A-scan ultrasonography,ultrasonography technique
743,computerized tomography,imaging technique
743,positron emission tomography,imaging technique
743,imaging,technique.
744,moocher,beggar
744,panhandler,beggar
744,beggarman,beggar
744,sannyasi,beggar
744,beggarwoman,beggar
744,derelict,beggar
744,schnorrer,beggar
744,starveling,beggar
744,Lazarus,beggar
744,pauper,beggar
745,questioning,interrogation
745,interview,questioning
745,direct examination,interview
745,challenge,questioning
745,deposition,questioning
745,job interview,interview
745,redirect examination,direct examination
745,telephone interview,interview
745,cross-examination,questioning
745,inquisition,interrogation
745,third degree,interrogation
745,debriefing,interview
745,catechism,questioning
745,interrogation,questioning
746,factorization,analysis
746,cost-benefit analysis,analysis
746,trend analysis,analysis
746,systems analysis,analysis
746,resolution,analysis
746,breakdown,dissection
746,elimination,reductionism
746,reductionism,dissection
746,diagonalization,reductionism
746,dissection,analysis
747,insecticide,pesticide
747,acaricide,pesticide
747,larvacide,pesticide
747,pediculicide,pesticide
747,spray,pesticide
747,sheep dip,pesticide
747,lead arsenate,arsenical
747,organophosphate,pesticide
747,pyrethrum,pesticide
747,dichlorodiphenyltrichloroethane,organophosphate
747,Malathion,organophosphate
747,lindane,organophosphate
747,chlorpyrifos,organophosphate
747,rotenone,pesticide
747,phosphine,pesticide
747,arsenical,pesticide
747,parathion,organophosphate
747,Paris green,arsenical
747,Kwell,pediculicide
748,paraffin,hydrocarbon
748,chloroprene,hydrocarbon
748,coal tar,pitch
748,benzene formula,benzene
748,ethane,hydrocarbon
748,provitamin A,provitamin
748,pyrene,aromatic compound
748,aromatic compound,aromatic hydrocarbon
748,beta-carotene,provitamin A
748,dioxin,aromatic compound
748,naphthalene,aromatic hydrocarbon
748,butadiene,hydrocarbon
748,bitumen,pitch
748,aromatic hydrocarbon,hydrocarbon
748,benzene,aromatic hydrocarbon
748,naphtha,hydrocarbon
748,unleaded gasoline,gasoline
748,limonene,terpene
748,hydrocarbon,compound
748,kerosene,hydrocarbon
748,pitch,compound
748,gasoline,hydrocarbon
748,napalm,gasoline
748,cymene,hydrocarbon
748,gasohol,gasoline
748,gas oil,hydrocarbon
748,chlorobenzene,benzene
748,indene,hydrocarbon
748,terpene,hydrocarbon
748,leaded gasoline,gasoline
748,provitamin,compound
748,octane,hydrocarbon
748,liquefied petroleum gas,hydrocarbon
749,partial eclipse,lunar eclipse
749,total eclipse,lunar eclipse
749,annular eclipse,lunar eclipse
749,solar eclipse,eclipse
749,interruption,suspension
749,resolution,interruption
749,remission,defervescence
749,defervescence,remission
749,punctuation,interruption
749,dislocation,interruption
749,eclipse,interruption
749,suspension,interruption
750,nastiness,unpleasantness
750,hatefulness,nastiness
750,frightfulness,nastiness
750,gruffness,unpleasantness
750,blatancy,unpleasantness
750,awfulness,unpleasantness
750,harshness,unpleasantness
750,beastliness,nastiness
750,offensiveness,nastiness
750,loathsomeness,nastiness
750,ghastliness,frightfulness
751,defamation,name calling
751,libel,defamation
751,slander,defamation
751,mud,smear
751,smear,defamation
751,character assassination,defamation
751,aspersion,defamation
751,denigration,defamation
751,disparagement,defamation
751,ethnic slur,name calling
751,condescension,denigration
751,sour grapes,detraction
751,cold water,detraction
751,smear word,name calling
752,claimant,petitioner
752,possible,probable
752,submitter,applicant
752,solicitor,fundraiser
752,job candidate,applicant
752,postulant,aspirant
752,Pretender,claimant
752,besieger,bidder
752,material,fundraiser
752,petitioner,claimant
752,probable,possible
752,aspirant,applicant
752,fundraiser,bidder
752,bidder,claimant
753,foam,spume
753,white water,foam
753,shaving foam,foam
753,head,foam
753,bubble,foam
753,shaving cream,foam
753,soapsuds,foam
753,lather,foam
753,air bubble,bubble
753,soap bubble,bubble
754,knitter,needleworker
754,cloakmaker,garmentmaker
754,sewer,stitcher
754,embroideress,embroiderer
754,tailor,garmentmaker
754,sewing-machine operator,stitcher
754,tucker,dressmaker
754,fitter,garmentmaker
754,embroiderer,needleworker
754,baster,stitcher
754,dressmaker,garmentmaker
754,stitcher,needleworker
754,outfitter,garmentmaker
754,edger,stitcher
754,Ross,tailor
755,compass saw,handsaw
755,keyhole saw,handsaw
755,folding saw,handsaw
755,bill,pruning saw
755,hacksaw,handsaw
755,crown saw,handsaw
755,pitsaw,handsaw
755,pruning saw,saw
755,bucksaw,handsaw
755,two-handed saw,saw
755,coping saw,handsaw
755,crosscut saw,saw
755,backsaw,handsaw
755,ripsaw,saw
755,saw,tool
755,pruner,pruning saw
756,rug,floor cover
756,runner,floor cover
756,numdah,rug
756,hearthrug,rug
756,scatter rug,rug
756,Kurdistan,rug
756,prayer rug,rug
756,stair-carpet,rug
756,mat,floor cover
756,broadloom,floor cover
756,red carpet,rug
756,Wilton,floor cover
756,doormat,mat
756,Brussels carpet,floor cover
756,shag rug,rug
756,parquetry,floor cover
756,drugget,rug
756,flying carpet,rug
757,ascospore,spore
757,chlamydospore,spore
757,oospore,spore
757,megaspore,spore
757,carpospore,spore
757,resting spore,spore
757,zoospore,spore
757,microspore,spore
757,basidiospore,spore
757,teliospore,spore
757,endospore,spore
757,zygospore,spore
757,conidium,spore
757,agamete,spore
757,tetraspore,spore
757,aeciospore,spore
757,spore,pollen
757,pollen,fern seed
757,ragweed pollen,pollen
757,pollinium,pollen
757,fern seed,spore
758,phobia,simple phobia
758,lepidophobia,phobia
758,cryophobia,phobia
758,gynophobia,phobia
758,algophobia,phobia
758,aquaphobia,phobia
758,photophobia,phobia
758,hydrophobia,phobia
758,satanophobia,phobia
758,nyctophobia,phobia
758,astraphobia,phobia
758,mysophobia,phobia
758,acrophobia,phobia
758,social phobia,phobia
758,triskaidekaphobia,phobia
758,xenophobia,phobia
758,musophobia,phobia
758,taphephobia,phobia
758,claustrophobia,phobia
758,ailurophobia,phobia
758,neophobia,phobia
758,traumatophobia,phobia
758,phonophobia,phobia
758,androphobia,phobia
758,thanatophobia,phobia
758,phobophobia,phobia
758,cynophobia,phobia
758,automysophobia,phobia
758,zoophobia,phobia
758,pyrophobia,phobia
758,acarophobia,phobia
758,cyberphobia,phobia
758,school phobia,phobia
758,entomophobia,phobia
758,arachnophobia,phobia
758,agoraphobia,phobia
758,hypnophobia,phobia
759,mountain trail,trail
759,Chisholm Trail,cattle trail
759,deer trail,trail
759,horse-trail,trail
759,cattle trail,trail
759,Santa Fe Trail,trail
759,ski run,trail
759,Iditarod Trail,trail
759,track,trail
759,portage,trail
759,piste,ski run
759,trail,track
759,Indian trail,trail
760,omega-6 fatty acid,polyunsaturated fatty acid
760,linoleic acid,omega-6 fatty acid
760,oleic acid,monounsaturated fatty acid
760,elaidic acid,unsaturated fatty acid
760,linolenic acid,omega-3 fatty acid
760,alpha-linolenic acid,linolenic acid
760,docosahexaenoic acid,omega-3 fatty acid
760,eicosapentaenoic acid,omega-3 fatty acid
760,ricinoleic acid,unsaturated fatty acid
760,eleostearic acid,unsaturated fatty acid
760,unsaturated fatty acid,fatty acid
760,omega-3 fatty acid,polyunsaturated fatty acid
760,monounsaturated fatty acid,unsaturated fatty acid
